Desa/Kelurahan,Luas Area,Jarak ke Kecamatan,Akomodasi,Tempat Makan,Fasilitas,Pantai,Harga Tiket,Rating,Wisatawan Mancanegara,Wisatawan Nusantara,Media Sosial,Menara Telepon
Pandan Lanjang,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Batonaong,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Glagga,Luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Ombul,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Balung,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Lajing,Luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Tengket,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Arosbaya,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Karang Duwak,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Dlemer,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Mangkon,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Berbeluk,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Cendagah,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Karang Pao,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Makam Agung,Luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Plakaran,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tambegan,Luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kramat,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Sabiyan,Sempit,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Gebang,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Gigir,Luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Ko'Olan,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Pangeran Gedungan,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Panjalinan,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Rosep,Kecil,Sangat dekat,Sedikit,Kurang Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kampao,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Lombang Laok,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Lombang Daya,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Karpote,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Blegaoloh,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Karang Gayam,Kecil,Dekat,Sedikit,Kurang Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Lomaer,Luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Bates,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Karang Panasan,Sempit,Dekat,Sedikit,Kurang Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Karangnangka,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Blega,Luas,Sangat dekat,Sedikit,Banyak Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Nyor Manis,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Alasraja,Luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kajan,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tonjung,Luas,Sangat dekat,Sedikit,Cukup Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Jambu,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Langkap,Luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Benangkah,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kapor,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Arok,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Sobih,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Pangolangan,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Perreng,Sempit,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Alas Kembang,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Binoh,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Pekadan,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kajuanak,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Paterongan,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Galis,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Paka'An Laok,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kranggan Timur,Sempit,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Separah,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Pakaandaya,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Longkek,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Tellok,Sangat luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Belateran,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kelbung,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Telagah,Luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Lantek Temor,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Lantek Barat,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Banjar,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Bangpendah,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Sadah,Kecil,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Sorpa,Sempit,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Togubang,Sangat luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Lerpak,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Batobella,Luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tegerpriyah,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Campor,Luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kompol,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kampak,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kombangan,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Dabung,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Katol Barat,Luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Banyoneng Laok,Sangat luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Banyoneng Dajah,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tajungan,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Gili Barat,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Banyu Ajuh,Sangat luas,Sangat dekat,Sedikit,Kurang Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Tanjung Jati,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kebun,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Gili Anyar,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tellang,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Pendabah,Luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tolbuk,Sempit,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Ra'As,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Muarah,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Polongan,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Karang Asem,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Bantean,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Bragang,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Lergunong,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Panyaksagan,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
