Desa/Kelurahan,Luas Area,Jarak ke Kecamatan,Akomodasi,Tempat Makan,Fasilitas,Pantai,Harga Tiket,Rating,Wisatawan Mancanegara,Wisatawan Nusantara,Media Sosial,Menara Telepon
Larangan Glintong,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Manonggal,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Larangan Sorjan,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Tenggun Daya,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Banyak
Bulung,Luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Trogan,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Ko'ol,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tobaddung,Sempit,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Mrandung,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Buluk Agung,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Klampis Barat,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Klampis Timur,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Lembung Gunung,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Ampara'an,Kecil,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kokop,Luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tlokoh,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Mano'An,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Mandung,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Bandang Laok,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tramok,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Katol Timur,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Banda Soleh,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Dupok,Sangat luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Batokorogan,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Galis Daya,Kecil,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Durin Barat,Luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kanegarah,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Batokaban,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Durin Timur,Sangat luas,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Pakes,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Bandung,Luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Konang,Luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Senasen,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Campor,Luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Sambiyan,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Cangkarman,Kecil,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tebul,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Pasanggrahan,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Karanganyar,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Batah Barat,Sempit,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Batah Timur,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Duwek Buter,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Pandanan,Sempit,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Karang Entang,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Janteh,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Dlemer,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Morombuh,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Sumur Kuning,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Paoran,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Gunung Sereng,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kesek,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Pangpong,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Sukolilo Barat,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Sukolilo Timur,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Bunajih,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Bringin,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Ba'Engas,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Labang,Sempit,Dekat,Sedikit,Banyak Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Jukong,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Sendang Laok,Sempit,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Sendang Daya,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Petapan,Sempit,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Pangpajung,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Patereman,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Kolla,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Paeng,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Neroh,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Serabi Timur,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Serabi Barat,Luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Patengteng,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Langpanggang,Sempit,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Suwaan,Kecil,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Modung,Kecil,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Brakas Dajah,Kecil,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Karanganyar,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Glisgis,Kecil,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Pakong,Sempit,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Alaskokon,Kecil,Sangat jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Junganyar,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Socah,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Buluh,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Sanggra Agung,Luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Bilaporah,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Keleyan,Luas,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Petaonan,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Dakiring,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Pacentan,Sangat luas,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Baipajung,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kranggan Barat,Sangat luas,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Pangeleyan,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Padurungan,Sempit,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Petrah,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tanah Merah Daya,Kecil,Sangat dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Cukup sedikit
Dumajah,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Tlomar,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Kendaban,Sempit,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Jangkar,Kecil,Dekat,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
Pettong,Kecil,Cukup jauh,Sedikit,Tidak Ada Tempat Makan,Kurang,Sedikit,Sangat murah,1 bintang,Tidak Ada Wisatawan Manca,Tidak Ada Wisatawan Lokal,Tidak ada,Tidak ada
